"","x"
"1",2
"2",10
"3",11
"4",12
"5",13
"6",15
"7",21
"8",25
"9",32
"10",39
"11",42
"12",46
"13",50
"14",51
"15",56
"16",58
"17",61
"18",67
"19",69
"20",80
"21",84
"22",85
"23",86
"24",87
"25",91
"26",92
"27",93
"28",98
"29",99
"30",103
"31",104
"32",109
"33",111
"34",116
"35",118
"36",121
"37",122
"38",124
"39",125
"40",127
"41",128
"42",131
"43",134
"44",137
"45",138
"46",146
"47",147
"48",150
"49",153
"50",160
"51",161
"52",163
"53",166
"54",171
"55",175
"56",177
"57",181
"58",189
"59",192
"60",195
"61",198
"62",200
"63",208
"64",211
"65",217
"66",219
"67",220
"68",221
"69",223
"70",225
"71",227
"72",228
"73",230
"74",233
"75",236
"76",246
"77",248
"78",251
"79",255
"80",258
"81",260
"82",265
"83",266
"84",267
"85",269
"86",274
"87",276
"88",281
"89",284
"90",293
"91",298
"92",300
"93",302
"94",303
"95",304
"96",307
"97",310
"98",312
"99",313
"100",314
"101",316
"102",319
"103",320
"104",323
"105",324
"106",325
"107",328
"108",329
"109",330
"110",331
"111",337
"112",340
"113",343
"114",345
"115",348
"116",353
"117",354
"118",355
"119",358
"120",360
"121",362
"122",363
"123",365
"124",368
"125",369
"126",372
"127",373
"128",377
"129",378
"130",379
"131",381
"132",382
"133",383
"134",384
"135",391
"136",394
"137",400
"138",402
"139",404
"140",406
"141",415
"142",418
"143",422
"144",424
"145",429
"146",431
"147",432
"148",434
"149",440
"150",442
"151",443
"152",445
"153",448
"154",449
"155",450
"156",451
"157",455
"158",458
"159",470
"160",472
"161",474
"162",475
"163",478
"164",479
"165",481
"166",486
"167",492
"168",496
"169",499
"170",500
"171",501
"172",504
"173",505
"174",506
"175",507
"176",515
"177",518
"178",522
"179",523
"180",528
"181",529
"182",532
"183",533
"184",535
"185",544
"186",545
"187",548
"188",552
"189",556
"190",558
"191",562
"192",563
"193",564
"194",565
"195",568
"196",570
"197",571
"198",572
"199",575
"200",576
"201",577
"202",580
"203",583
"204",586
"205",587
"206",592
"207",593
"208",595
"209",601
"210",603
"211",604
"212",605
"213",611
"214",612
"215",614
"216",615
"217",616
"218",617
"219",623
"220",625
"221",630
"222",631
"223",634
"224",645
"225",647
"226",655
"227",656
"228",663
"229",664
"230",671
"231",675
"232",683
"233",686
"234",689
"235",692
"236",693
"237",695
"238",701
"239",709
"240",717
"241",718
"242",721
"243",729
"244",732
"245",736
"246",740
"247",743
"248",747
"249",749
"250",752
"251",753
"252",755
