"","x"
"1",2
"2",6
"3",8
"4",11
"5",12
"6",15
"7",17
"8",18
"9",19
"10",22
"11",23
"12",25
"13",27
"14",30
"15",33
"16",35
"17",37
"18",38
"19",40
"20",44
"21",45
"22",46
"23",51
"24",53
"25",54
"26",58
"27",59
"28",62
"29",74
"30",81
"31",82
"32",89
"33",90
"34",94
"35",96
"36",100
"37",105
"38",107
"39",108
"40",111
"41",112
"42",113
"43",117
"44",118
"45",122
"46",123
"47",124
"48",127
"49",132
"50",133
"51",137
"52",142
"53",143
"54",145
"55",152
"56",155
"57",157
"58",158
"59",160
"60",163
"61",171
"62",174
"63",176
"64",187
"65",188
"66",189
"67",194
"68",195
"69",196
"70",197
"71",198
"72",200
"73",202
"74",203
"75",208
"76",216
"77",221
"78",229
"79",232
"80",234
"81",237
"82",239
"83",241
"84",243
"85",246
"86",251
"87",255
"88",263
"89",264
"90",266
"91",271
"92",279
"93",285
"94",286
"95",290
"96",296
"97",297
"98",298
"99",302
"100",305
"101",309
"102",319
"103",320
"104",325
"105",326
"106",327
"107",330
"108",331
"109",332
"110",335
"111",336
"112",337
"113",338
"114",343
"115",344
"116",345
"117",346
"118",348
"119",354
"120",355
"121",357
"122",359
"123",368
"124",371
"125",381
"126",383
"127",384
"128",389
"129",394
"130",395
"131",398
"132",403
"133",406
"134",407
"135",408
"136",411
"137",414
"138",415
"139",416
"140",424
"141",426
"142",432
"143",433
"144",434
"145",436
"146",445
"147",447
"148",449
"149",452
"150",453
"151",457
"152",461
"153",462
"154",468
"155",473
"156",481
"157",482
"158",486
"159",487
"160",493
"161",494
"162",500
"163",501
"164",504
"165",505
"166",508
"167",513
"168",516
"169",517
"170",520
"171",523
"172",525
"173",526
"174",531
"175",536
"176",540
"177",541
"178",542
"179",544
"180",546
"181",548
"182",552
"183",554
"184",556
"185",557
"186",560
"187",561
"188",562
"189",563
"190",565
"191",568
"192",577
"193",578
"194",580
"195",583
"196",587
"197",588
"198",590
"199",591
"200",592
"201",596
"202",602
"203",604
"204",607
"205",608
"206",610
"207",617
"208",623
"209",625
"210",633
"211",637
"212",640
"213",642
"214",644
"215",647
"216",648
"217",650
"218",651
"219",665
"220",666
"221",670
"222",673
"223",676
"224",677
"225",680
"226",681
"227",682
"228",685
"229",687
"230",704
"231",709
"232",710
"233",711
"234",717
"235",718
"236",719
"237",720
"238",722
"239",724
"240",727
"241",729
"242",730
"243",731
"244",734
"245",738
"246",740
"247",745
"248",748
"249",749
"250",752
"251",753
"252",755
