"","x"
"1",698
"2",542
"3",277
"4",367
"5",540
"6",76
"7",263
"8",215
"9",707
"10",380
"11",383
"12",143
"13",287
"14",720
"15",363
"16",278
"17",378
"18",388
"19",32
"20",387
"21",292
"22",218
"23",137
"24",633
"25",655
"26",562
"27",294
"28",368
"29",299
"30",747
"31",267
"32",401
"33",298
"34",265
"35",73
"36",600
"37",53
"38",236
"39",77
"40",23
"41",244
"42",365
"43",295
"44",362
"45",379
"46",554
"47",293
"48",184
"49",729
"50",389
"51",31
"52",382
"53",384
"54",369
"55",394
"56",37
"57",283
"58",426
"59",128
"60",561
"61",381
"62",84
"63",396
"64",553
"65",598
"66",29
"67",123
"68",525
"69",517
"70",377
"71",431
"72",737
"73",734
"74",425
"75",685
"76",711
"77",666
"78",150
"79",328
"80",451
"81",702
"82",641
"83",395
"84",86
"85",136
"86",456
"87",59
"88",57
"89",111
"90",753
"91",462
"92",621
"93",420
"94",334
"95",192
"96",344
"97",228
"98",659
"99",558
"100",504
"101",246
"102",304
"103",479
"104",539
"105",99
"106",484
"107",116
"108",235
"109",125
"110",437
"111",241
"112",312
"113",639
"114",126
"115",710
"116",58
"117",39
"118",302
"119",15
"120",657
"121",176
"122",25
"123",72
"124",701
"125",400
"126",416
"127",275
"128",631
"129",4
"130",160
"131",432
"132",187
"133",130
"134",507
"135",220
"136",408
"137",440
"138",434
"139",632
"140",110
"141",742
"142",726
"143",506
"144",168
"145",12
"146",219
"147",174
"148",652
"149",706
"150",535
"151",24
"152",158
"153",594
"154",49
"155",683
"156",159
"157",194
"158",647
"159",689
"160",54
"161",393
"162",203
"163",188
"164",318
"165",575
"166",122
"167",347
"168",611
"169",352
"170",524
"171",597
"172",751
"173",477
"174",545
"175",255
"176",455
"177",693
"178",503
"179",216
"180",577
"181",738
"182",35
"183",743
"184",512
"185",221
"186",531
"187",667
"188",20
"189",319
"190",732
"191",5
"192",615
"193",223
"194",124
"195",257
"196",559
"197",81
"198",212
"199",622
"200",413
"201",252
"202",754
"203",493
"204",628
"205",87
"206",446
"207",602
"208",687
"209",41
"210",206
"211",398
"212",556
"213",196
"214",180
"215",466
"216",120
"217",686
"218",643
"219",78
"220",668
"221",229
"222",146
"223",682
"224",144
"225",151
"226",678
"227",200
"228",616
"229",715
"230",419
"231",145
"232",44
"233",303
"234",500
"235",520
"236",407
"237",749
"238",630
"239",259
"240",177
"241",429
"242",113
"243",189
"244",238
"245",95
"246",476
"247",674
"248",118
"249",447
"250",731
"251",480
"252",579
"253",127
"254",527
"255",46
"256",269
"257",522
"258",735
"259",50
"260",595
"261",709
"262",213
"263",161
"264",8
"265",22
"266",645
"267",596
"268",45
"269",664
"270",583
"271",648
"272",727
"273",67
"274",280
"275",695
"276",546
"277",172
"278",670
"279",308
"280",82
"281",28
"282",83
"283",93
"284",492
"285",242
"286",438
"287",6
"288",10
"289",730
"290",568
"291",654
"292",107
"293",460
"294",708
"295",442
"296",131
"297",483
"298",422
"299",26
"300",43
"301",48
"302",197
"303",620
"304",716
"305",511
"306",240
"307",14
"308",428
"309",207
"310",637
"311",40
"312",430
"313",55
"314",472
"315",436
"316",157
"317",672
"318",566
"319",392
"320",624
"321",17
"322",435
"323",325
"324",96
"325",608
"326",117
"327",752
"328",750
"329",533
"330",584
"331",230
"332",486
"333",642
"334",635
"335",529
"336",373
"337",516
"338",3
"339",320
"340",195
"341",33
"342",405
"343",18
"344",249
"345",421
"346",330
"347",34
"348",463
"349",106
"350",343
"351",459
"352",390
"353",629
"354",498
"355",728
"356",555
"357",700
"358",409
"359",453
"360",173
"361",301
"362",105
"363",333
"364",156
"365",403
"366",578
"367",316
"368",439
"369",266
"370",182
"371",565
"372",587
"373",185
"374",165
"375",65
"376",291
"377",680
"378",448
"379",358
"380",315
"381",225
"382",481
"383",410
"384",270
"385",253
"386",487
"387",755
"388",148
"389",675
"390",521
"391",623
"392",327
"393",599
"394",519
"395",386
"396",740
"397",495
"398",264
"399",135
"400",282
"401",61
"402",589
"403",601
"404",604
"405",505
"406",557
"407",181
"408",245
"409",412
"410",499
"411",103
"412",323
"413",342
"414",570
"415",491
"416",296
"417",274
"418",619
"419",490
"420",205
"421",341
"422",227
"423",7
"424",89
"425",653
"426",474
"427",739
"428",92
"429",129
"430",699
"431",346
"432",397
"433",567
"434",251
"435",115
"436",1
"437",563
"438",132
"439",478
"440",60
"441",351
"442",142
"443",703
"444",167
"445",11
"446",258
"447",233
"448",569
"449",66
"450",665
"451",68
"452",254
"453",550
"454",248
"455",528
"456",149
"457",644
"458",626
"459",433
"460",193
"461",272
"462",226
"463",627
"464",104
"465",232
"466",585
"467",417
"468",313
"469",109
"470",250
"471",350
"472",523
"473",338
"474",697
"475",748
"476",353
"477",618
"478",288
"479",38
"480",454
"481",617
"482",134
"483",681
"484",580
"485",171
"486",285
"487",722
"488",13
"489",286
"490",736
"491",691
"492",234
"493",717
"494",170
"495",679
"496",119
"497",576
"498",47
"499",733
"500",337
"501",704
"502",724
"503",290
