"","x"
"1",236
"2",363
"3",360
"4",90
"5",677
"6",322
"7",389
"8",378
"9",394
"10",295
"11",372
"12",278
"13",574
"14",77
"15",514
"16",310
"17",297
"18",364
"19",655
"20",371
"21",366
"22",707
"23",381
"24",380
"25",294
"26",224
"27",32
"28",540
"29",382
"30",215
"31",299
"32",292
"33",218
"34",536
"35",137
"36",401
"37",457
"38",284
"39",367
"40",361
"41",16
"42",362
"43",263
"44",475
"45",298
"46",542
"47",23
"48",374
"49",554
"50",184
"51",133
"52",141
"53",37
"54",287
"55",383
"56",244
"57",370
"58",368
"59",720
"60",426
"61",562
"62",42
"63",585
"64",320
"65",716
"66",252
"67",12
"68",474
"69",54
"70",198
"71",318
"72",527
"73",658
"74",326
"75",586
"76",571
"77",703
"78",623
"79",751
"80",661
"81",456
"82",712
"83",750
"84",549
"85",491
"86",462
"87",405
"88",180
"89",489
"90",593
"91",269
"92",356
"93",407
"94",555
"95",99
"96",26
"97",674
"98",150
"99",547
"100",258
"101",589
"102",737
"103",51
"104",48
"105",521
"106",402
"107",100
"108",430
"109",508
"110",153
"111",246
"112",552
"113",659
"114",189
"115",660
"116",35
"117",127
"118",692
"119",434
"120",498
"121",6
"122",165
"123",152
"124",350
"125",700
"126",615
"127",738
"128",304
"129",606
"130",620
"131",495
"132",690
"133",490
"134",743
"135",172
"136",721
"137",755
"138",249
"139",461
"140",233
"141",65
"142",642
"143",270
"144",518
"145",207
"146",205
"147",666
"148",503
"149",129
"150",45
"151",58
"152",749
"153",648
"154",234
"155",255
"156",192
"157",578
"158",468
"159",436
"160",173
"161",78
"162",499
"163",444
"164",61
"165",24
"166",694
"167",480
"168",511
"169",96
"170",477
"171",506
"172",693
"173",684
"174",131
"175",39
"176",44
"177",124
"178",321
"179",637
"180",22
"181",439
"182",11
"183",91
"184",253
"185",688
"186",627
"187",171
"188",515
"189",142
"190",257
"191",203
"192",732
"193",64
"194",33
"195",351
"196",639
"197",280
"198",395
"199",630
"200",425
"201",160
"202",416
"203",452
"204",67
"205",687
"206",296
"207",331
"208",319
"209",621
"210",317
"211",613
"212",726
"213",556
"214",580
"215",671
"216",631
"217",199
"218",727
"219",741
"220",112
"221",164
"222",748
"223",533
"224",563
"225",454
"226",545
"227",473
"228",228
"229",174
"230",403
"231",591
"232",55
"233",460
"234",79
"235",202
"236",10
"237",102
"238",303
"239",254
"240",227
"241",114
"242",492
"243",101
"244",108
"245",398
"246",81
"247",301
"248",333
"249",592
"250",543
"251",358
"252",201
"253",208
"254",148
"255",469
"256",479
"257",353
"258",291
"259",532
"260",47
"261",483
"262",705
"263",106
"264",209
"265",313
"266",338
"267",654
"268",410
"269",428
"270",652
"271",235
"272",467
"273",523
"274",564
"275",638
"276",587
"277",289
"278",414
"279",584
"280",529
"281",679
"282",686
"283",746
"284",465
"285",619
"286",177
"287",339
"288",718
"289",629
"290",599
"291",391
"292",656
"293",60
"294",19
"295",57
"296",109
"297",618
"298",46
"299",577
"300",502
"301",685
"302",247
"303",110
"304",576
"305",493
"306",609
"307",183
"308",598
"309",261
"310",558
"311",308
"312",329
"313",154
"314",239
"315",92
"316",424
"317",481
"318",524
"319",145
"320",437
"321",433
"322",724
"323",191
"324",62
"325",135
"326",147
"327",210
"328",166
"329",216
"330",245
"331",488
"332",603
"333",36
"334",478
"335",285
"336",427
"337",486
"338",464
"339",204
"340",689
"341",5
"342",117
"343",94
"344",530
"345",187
"346",241
"347",275
"348",179
"349",581
"350",111
"351",352
"352",605
"353",663
"354",731
"355",130
"356",610
"357",157
"358",93
"359",156
"360",588
"361",221
"362",7
"363",163
"364",18
"365",325
"366",149
"367",260
"368",4
"369",408
"370",617
"371",43
"372",745
"373",229
"374",87
"375",185
"376",307
"377",169
"378",519
"379",649
"380",122
"381",309
"382",681
"383",541
"384",509
"385",242
"386",596
"387",675
"388",136
"389",435
"390",628
"391",49
"392",722
"393",429
"394",680
"395",193
"396",268
"397",138
"398",397
"399",13
"400",86
"401",624
"402",682
"403",392
"404",583
"405",472
"406",531
"407",113
"408",126
"409",139
"410",178
"411",223
"412",651
"413",98
"414",28
"415",132
"416",451
"417",181
"418",636
"419",725
"420",548
"421",311
"422",97
"423",487
"424",282
"425",463
"426",625
"427",82
"428",80
"429",590
"430",226
"431",662
"432",471
"433",614
"434",286
"435",63
"436",119
"437",212
"438",535
"439",264
"440",84
"441",608
"442",526
"443",52
"444",653
"445",504
"446",438
"447",30
"448",494
"449",259
"450",121
"451",15
"452",440
"453",302
"454",657
"455",448
"456",373
"457",539
"458",196
"459",736
"460",300
"461",607
"462",115
"463",635
"464",323
"465",66
"466",349
"467",213
"468",40
"469",709
"470",125
"471",643
"472",520
"473",449
"474",72
"475",194
"476",393
"477",176
"478",306
"479",343
"480",544
"481",186
"482",673
"483",123
"484",406
"485",346
"486",579
"487",288
"488",714
"489",17
"490",594
"491",672
"492",702
"493",386
"494",497
"495",385
"496",645
"497",482
"498",411
"499",83
"500",516
"501",711
"502",442
"503",446
