"","x"
"1",1
"2",2
"3",3
"4",4
"5",12
"6",13
"7",14
"8",16
"9",17
"10",21
"11",29
"12",31
"13",32
"14",34
"15",36
"16",38
"17",43
"18",44
"19",48
"20",49
"21",51
"22",52
"23",55
"24",56
"25",66
"26",67
"27",68
"28",69
"29",74
"30",75
"31",76
"32",79
"33",80
"34",86
"35",89
"36",91
"37",93
"38",95
"39",101
"40",104
"41",106
"42",112
"43",114
"44",116
"45",117
"46",119
"47",120
"48",121
"49",124
"50",127
"51",128
"52",132
"53",142
"54",147
"55",153
"56",154
"57",157
"58",158
"59",161
"60",164
"61",166
"62",167
"63",171
"64",172
"65",173
"66",179
"67",183
"68",184
"69",185
"70",188
"71",190
"72",201
"73",203
"74",208
"75",210
"76",213
"77",215
"78",216
"79",218
"80",219
"81",224
"82",230
"83",241
"84",243
"85",247
"86",248
"87",249
"88",251
"89",252
"90",258
"91",259
"92",267
"93",270
"94",271
"95",274
"96",283
"97",284
"98",287
"99",298
"100",307
"101",308
"102",309
"103",314
"104",315
"105",316
"106",322
"107",323
"108",326
"109",327
"110",334
"111",338
"112",342
"113",352
"114",357
"115",360
"116",363
"117",365
"118",368
"119",376
"120",377
"121",389
"122",396
"123",398
"124",399
"125",400
"126",402
"127",410
"128",413
"129",417
"130",418
"131",425
"132",426
"133",432
"134",436
"135",441
"136",444
"137",446
"138",449
"139",450
"140",457
"141",458
"142",460
"143",463
"144",466
"145",467
"146",469
"147",473
"148",474
"149",477
"150",480
"151",488
"152",489
"153",495
"154",496
"155",498
"156",499
"157",501
"158",505
"159",511
"160",514
"161",517
"162",521
"163",525
"164",527
"165",532
"166",534
"167",537
"168",540
"169",541
"170",542
"171",543
"172",546
"173",547
"174",549
"175",550
"176",551
"177",560
"178",565
"179",568
"180",573
"181",579
"182",580
"183",584
"184",586
"185",588
"186",591
"187",593
"188",594
"189",600
"190",601
"191",602
"192",608
"193",610
"194",612
"195",618
"196",619
"197",621
"198",624
"199",628
"200",631
"201",632
"202",633
"203",635
"204",637
"205",640
"206",643
"207",644
"208",647
"209",648
"210",649
"211",654
"212",655
"213",657
"214",658
"215",659
"216",661
"217",666
"218",667
"219",669
"220",671
"221",677
"222",678
"223",679
"224",689
"225",690
"226",693
"227",695
"228",696
"229",700
"230",701
"231",702
"232",705
"233",706
"234",708
"235",710
"236",711
"237",712
"238",713
"239",714
"240",716
"241",717
"242",724
"243",725
"244",726
"245",730
"246",731
"247",733
"248",736
"249",742
"250",746
"251",749
"252",751
