"","x"
"1",394
"2",71
"3",369
"4",298
"5",574
"6",375
"7",137
"8",362
"9",277
"10",265
"11",426
"12",31
"13",381
"14",365
"15",376
"16",287
"17",387
"18",542
"19",370
"20",380
"21",236
"22",305
"23",263
"24",279
"25",600
"26",293
"27",378
"28",53
"29",367
"30",283
"31",133
"32",361
"33",655
"34",729
"35",310
"36",536
"37",360
"38",184
"39",562
"40",143
"41",364
"42",73
"43",457
"44",514
"45",496
"46",389
"47",475
"48",368
"49",215
"50",374
"51",23
"52",388
"53",633
"54",382
"55",77
"56",37
"57",363
"58",295
"59",278
"60",561
"61",371
"62",447
"63",155
"64",158
"65",681
"66",256
"67",152
"68",529
"69",584
"70",78
"71",148
"72",481
"73",174
"74",404
"75",445
"76",118
"77",272
"78",431
"79",400
"80",49
"81",581
"82",190
"83",444
"84",665
"85",666
"86",144
"87",548
"88",744
"89",94
"90",694
"91",637
"92",161
"93",65
"94",603
"95",178
"96",29
"97",40
"98",575
"99",625
"100",441
"101",635
"102",471
"103",258
"104",626
"105",291
"106",602
"107",437
"108",513
"109",545
"110",601
"111",6
"112",342
"113",48
"114",648
"115",44
"116",134
"117",748
"118",187
"119",275
"120",314
"121",188
"122",432
"123",442
"124",140
"125",440
"126",598
"127",66
"128",491
"129",699
"130",34
"131",7
"132",506
"133",644
"134",488
"135",605
"136",321
"137",146
"138",8
"139",81
"140",56
"141",176
"142",235
"143",4
"144",721
"145",171
"146",28
"147",556
"148",87
"149",280
"150",103
"151",492
"152",541
"153",686
"154",415
"155",500
"156",493
"157",324
"158",735
"159",616
"160",636
"161",80
"162",701
"163",596
"164",402
"165",430
"166",19
"167",111
"168",156
"169",95
"170",460
"171",319
"172",114
"173",671
"174",652
"175",139
"176",645
"177",753
"178",15
"179",189
"180",547
"181",300
"182",558
"183",517
"184",592
"185",183
"186",282
"187",61
"188",3
"189",123
"190",209
"191",630
"192",399
"193",230
"194",494
"195",594
"196",704
"197",569
"198",147
"199",27
"200",436
"201",711
"202",424
"203",24
"204",336
"205",613
"206",590
"207",405
"208",124
"209",237
"210",646
"211",105
"212",523
"213",351
"214",116
"215",733
"216",320
"217",746
"218",154
"219",503
"220",683
"221",525
"222",249
"223",79
"224",624
"225",340
"226",26
"227",612
"228",754
"229",724
"230",478
"231",696
"232",520
"233",486
"234",100
"235",482
"236",407
"237",522
"238",212
"239",36
"240",253
"241",136
"242",326
"243",385
"244",397
"245",443
"246",93
"247",727
"248",2
"249",651
"250",45
"251",303
"252",531
"253",730
"254",692
"255",289
"256",266
"257",311
"258",10
"259",206
"260",737
"261",308
"262",225
"263",643
"264",750
"265",629
"266",466
"267",350
"268",13
"269",345
"270",657
"271",710
"272",462
"273",120
"274",726
"275",216
"276",713
"277",676
"278",650
"279",193
"280",615
"281",703
"282",157
"283",248
"284",354
"285",736
"286",501
"287",150
"288",323
"289",173
"290",393
"291",238
"292",623
"293",751
"294",270
"295",573
"296",606
"297",599
"298",301
"299",271
"300",640
"301",208
"302",451
"303",450
"304",414
"305",463
"306",446
"307",337
"308",509
"309",589
"310",62
"311",516
"312",549
"313",373
"314",213
"315",199
"316",417
"317",618
"318",528
"319",325
"320",674
"321",317
"322",622
"323",276
"324",106
"325",91
"326",251
"327",160
"328",693
"329",533
"330",449
"331",186
"332",572
"333",538
"334",553
"335",142
"336",576
"337",396
"338",338
"339",33
"340",620
"341",51
"342",667
"343",98
"344",498
"345",607
"346",334
"347",170
"348",96
"349",55
"350",526
"351",352
"352",664
"353",512
"354",499
"355",12
"356",269
"357",329
"358",115
"359",434
"360",749
"361",550
"362",306
"363",395
"364",577
"365",30
"366",734
"367",419
"368",102
"369",479
"370",631
"371",708
"372",593
"373",169
"374",220
"375",72
"376",355
"377",88
"378",84
"379",679
"380",476
"381",682
"382",1
"383",60
"384",621
"385",583
"386",286
"387",455
"388",268
"389",274
"390",245
"391",41
"392",425
"393",191
"394",706
"395",241
"396",69
"397",587
"398",489
"399",454
"400",722
"401",563
"402",309
"403",453
"404",461
"405",459
"406",571
"407",42
"408",129
"409",391
"410",487
"411",316
"412",685
"413",688
"414",172
"415",246
"416",485
"417",167
"418",480
"419",634
"420",702
"421",229
"422",192
"423",752
"424",127
"425",438
"426",97
"427",257
"428",408
"429",38
"430",510
"431",348
"432",608
"433",259
"434",714
"435",595
"436",122
"437",610
"438",210
"439",231
"440",135
"441",700
"442",112
"443",21
"444",92
"445",70
"446",75
"447",99
"448",429
"449",495
"450",330
"451",728
"452",260
"453",198
"454",659
"455",551
"456",327
"457",604
"458",151
"459",43
"460",740
"461",290
"462",474
"463",159
"464",464
"465",627
"466",234
"467",181
"468",74
"469",718
"470",358
"471",628
"472",690
"473",507
"474",335
"475",117
"476",35
"477",86
"478",313
"479",410
"480",559
"481",697
"482",357
"483",219
"484",409
"485",85
"486",467
"487",89
"488",731
"489",46
"490",227
"491",502
"492",413
"493",17
"494",145
"495",204
"496",452
"497",497
"498",333
"499",121
"500",113
"501",341
"502",356
"503",723
