"","x"
"1",3
"2",10
"3",18
"4",21
"5",22
"6",23
"7",24
"8",29
"9",32
"10",36
"11",37
"12",40
"13",41
"14",42
"15",43
"16",46
"17",49
"18",55
"19",58
"20",59
"21",61
"22",63
"23",66
"24",70
"25",73
"26",74
"27",78
"28",80
"29",81
"30",85
"31",93
"32",98
"33",99
"34",100
"35",102
"36",103
"37",104
"38",108
"39",113
"40",117
"41",118
"42",119
"43",126
"44",128
"45",130
"46",136
"47",138
"48",141
"49",143
"50",144
"51",149
"52",153
"53",157
"54",161
"55",162
"56",164
"57",165
"58",166
"59",171
"60",175
"61",177
"62",179
"63",182
"64",185
"65",186
"66",194
"67",195
"68",199
"69",204
"70",211
"71",213
"72",216
"73",221
"74",222
"75",227
"76",229
"77",233
"78",235
"79",237
"80",238
"81",239
"82",245
"83",249
"84",250
"85",251
"86",255
"87",262
"88",265
"89",269
"90",276
"91",277
"92",279
"93",281
"94",282
"95",285
"96",288
"97",291
"98",296
"99",298
"100",300
"101",303
"102",304
"103",306
"104",307
"105",313
"106",318
"107",320
"108",322
"109",327
"110",336
"111",337
"112",342
"113",344
"114",346
"115",348
"116",349
"117",350
"118",351
"119",352
"120",354
"121",356
"122",358
"123",359
"124",362
"125",367
"126",369
"127",373
"128",377
"129",378
"130",380
"131",383
"132",384
"133",386
"134",388
"135",394
"136",417
"137",422
"138",427
"139",429
"140",430
"141",432
"142",434
"143",437
"144",441
"145",445
"146",446
"147",450
"148",453
"149",454
"150",461
"151",467
"152",469
"153",473
"154",474
"155",476
"156",477
"157",480
"158",482
"159",484
"160",494
"161",495
"162",497
"163",498
"164",501
"165",502
"166",505
"167",511
"168",512
"169",517
"170",518
"171",519
"172",523
"173",525
"174",528
"175",530
"176",532
"177",533
"178",542
"179",543
"180",544
"181",549
"182",550
"183",551
"184",554
"185",560
"186",562
"187",565
"188",576
"189",578
"190",583
"191",584
"192",585
"193",591
"194",592
"195",603
"196",607
"197",608
"198",611
"199",612
"200",618
"201",620
"202",621
"203",624
"204",626
"205",628
"206",630
"207",632
"208",633
"209",635
"210",637
"211",638
"212",641
"213",646
"214",648
"215",649
"216",651
"217",654
"218",655
"219",663
"220",664
"221",669
"222",670
"223",671
"224",674
"225",677
"226",681
"227",684
"228",685
"229",689
"230",691
"231",692
"232",696
"233",703
"234",707
"235",711
"236",714
"237",717
"238",718
"239",720
"240",721
"241",723
"242",724
"243",725
"244",728
"245",736
"246",741
"247",742
"248",745
"249",747
"250",748
"251",751
"252",753
