"","x"
"1",141
"2",554
"3",542
"4",305
"5",218
"6",633
"7",279
"8",387
"9",536
"10",367
"11",143
"12",375
"13",76
"14",53
"15",371
"16",277
"17",283
"18",294
"19",574
"20",388
"21",292
"22",90
"23",389
"24",77
"25",23
"26",263
"27",457
"28",224
"29",37
"30",31
"31",514
"32",364
"33",698
"34",380
"35",71
"36",540
"37",376
"38",426
"39",361
"40",582
"41",295
"42",366
"43",707
"44",370
"45",299
"46",600
"47",720
"48",215
"49",73
"50",16
"51",184
"52",322
"53",133
"54",297
"55",287
"56",278
"57",374
"58",561
"59",244
"60",677
"61",401
"62",234
"63",334
"64",3
"65",268
"66",516
"67",735
"68",207
"69",205
"70",494
"71",480
"72",585
"73",551
"74",64
"75",159
"76",199
"77",136
"78",132
"79",385
"80",597
"81",179
"82",466
"83",672
"84",716
"85",553
"86",296
"87",750
"88",327
"89",737
"90",254
"91",45
"92",513
"93",176
"94",350
"95",174
"96",629
"97",237
"98",618
"99",546
"100",525
"101",231
"102",18
"103",727
"104",428
"105",447
"106",517
"107",526
"108",311
"109",599
"110",632
"111",621
"112",100
"113",644
"114",187
"115",140
"116",264
"117",419
"118",436
"119",408
"120",651
"121",489
"122",271
"123",20
"124",728
"125",555
"126",338
"127",19
"128",357
"129",653
"130",395
"131",152
"132",476
"133",290
"134",596
"135",157
"136",639
"137",351
"138",95
"139",9
"140",462
"141",549
"142",190
"143",48
"144",510
"145",280
"146",416
"147",1
"148",172
"149",569
"150",538
"151",594
"152",543
"153",235
"154",602
"155",30
"156",318
"157",52
"158",262
"159",112
"160",433
"161",114
"162",193
"163",662
"164",678
"165",272
"166",326
"167",183
"168",68
"169",627
"170",286
"171",145
"172",356
"173",659
"174",437
"175",26
"176",336
"177",117
"178",661
"179",463
"180",559
"181",201
"182",60
"183",6
"184",14
"185",40
"186",403
"187",335
"188",668
"189",226
"190",155
"191",97
"192",681
"193",624
"194",660
"195",259
"196",741
"197",182
"198",731
"199",212
"200",115
"201",453
"202",210
"203",162
"204",188
"205",512
"206",252
"207",581
"208",439
"209",606
"210",270
"211",5
"212",238
"213",253
"214",711
"215",579
"216",417
"217",41
"218",706
"219",665
"220",588
"221",497
"222",151
"223",306
"224",399
"225",59
"226",349
"227",454
"228",697
"229",289
"230",291
"231",491
"232",202
"233",185
"234",28
"235",708
"236",4
"237",397
"238",734
"239",712
"240",488
"241",196
"242",460
"243",170
"244",65
"245",676
"246",47
"247",658
"248",156
"249",29
"250",578
"251",158
"252",352
"253",456
"254",485
"255",710
"256",484
"257",469
"258",609
"259",55
"260",261
"261",590
"262",405
"263",598
"264",722
"265",339
"266",464
"267",206
"268",636
"269",649
"270",241
"271",566
"272",129
"273",637
"274",342
"275",537
"276",667
"277",126
"278",7
"279",438
"280",620
"281",317
"282",679
"283",643
"284",180
"285",130
"286",607
"287",411
"288",240
"289",530
"290",407
"291",393
"292",344
"293",250
"294",120
"295",531
"296",646
"297",652
"298",519
"299",186
"300",390
"301",483
"302",471
"303",135
"304",78
"305",33
"306",106
"307",682
"308",82
"309",573
"310",441
"311",17
"312",108
"313",321
"314",169
"315",197
"316",243
"317",38
"318",214
"319",242
"320",249
"321",730
"322",669
"323",435
"324",256
"325",24
"326",680
"327",347
"328",725
"329",696
"330",222
"331",392
"332",521
"333",427
"334",674
"335",123
"336",332
"337",257
"338",738
"339",703
"340",113
"341",49
"342",619
"343",495
"344",105
"345",635
"346",167
"347",420
"348",524
"349",213
"350",503
"351",142
"352",560
"353",648
"354",209
"355",35
"356",178
"357",723
"358",613
"359",288
"360",744
"361",36
"362",139
"363",467
"364",608
"365",670
"366",83
"367",301
"368",308
"369",412
"370",96
"371",714
"372",690
"373",165
"374",62
"375",88
"376",239
"377",285
"378",359
"379",724
"380",461
"381",527
"382",713
"383",107
"384",22
"385",315
"386",745
"387",534
"388",89
"389",425
"390",666
"391",44
"392",194
"393",550
"394",94
"395",410
"396",396
"397",468
"398",309
"399",229
"400",719
"401",700
"402",81
"403",610
"404",541
"405",473
"406",452
"407",702
"408",657
"409",482
"410",654
"411",502
"412",27
"413",168
"414",557
"415",444
"416",34
"417",487
"418",204
"419",8
"420",754
"421",650
"422",584
"423",409
"424",232
"425",509
"426",694
"427",119
"428",72
"429",465
"430",216
"431",79
"432",746
"433",63
"434",446
"435",413
"436",75
"437",684
"438",414
"439",149
"440",699
"441",423
"442",386
"443",191
"444",203
"445",591
"446",70
"447",164
"448",704
"449",641
"450",273
"451",333
"452",685
"453",715
"454",539
"455",493
"456",245
"457",687
"458",673
"459",459
"460",430
"461",54
"462",691
"463",66
"464",477
"465",705
"466",638
"467",642
"468",640
"469",398
"470",498
"471",110
"472",102
"473",247
"474",622
"475",346
"476",282
"477",101
"478",57
"479",173
"480",748
"481",626
"482",726
"483",341
"484",547
"485",751
"486",742
"487",589
"488",154
"489",567
"490",688
"491",739
"492",275
"493",43
"494",74
"495",508
"496",144
"497",511
"498",520
"499",628
"500",733
"501",490
"502",148
"503",421
