"","x"
"1",426
"2",367
"3",361
"4",370
"5",236
"6",31
"7",215
"8",363
"9",71
"10",360
"11",279
"12",365
"13",496
"14",265
"15",554
"16",143
"17",582
"18",244
"19",376
"20",37
"21",380
"22",77
"23",475
"24",384
"25",394
"26",536
"27",283
"28",23
"29",322
"30",295
"31",141
"32",542
"33",263
"34",277
"35",16
"36",698
"37",707
"38",128
"39",387
"40",368
"41",382
"42",374
"43",389
"44",381
"45",299
"46",184
"47",514
"48",364
"49",224
"50",457
"51",297
"52",53
"53",729
"54",133
"55",633
"56",562
"57",388
"58",747
"59",561
"60",371
"61",305
"62",182
"63",624
"64",661
"65",118
"66",731
"67",510
"68",563
"69",455
"70",112
"71",657
"72",340
"73",658
"74",680
"75",65
"76",541
"77",573
"78",686
"79",243
"80",197
"81",83
"82",688
"83",517
"84",663
"85",257
"86",581
"87",317
"88",266
"89",116
"90",146
"91",99
"92",643
"93",580
"94",481
"95",82
"96",586
"97",634
"98",206
"99",121
"100",591
"101",476
"102",66
"103",97
"104",150
"105",737
"106",738
"107",607
"108",127
"109",219
"110",52
"111",144
"112",602
"113",145
"114",24
"115",301
"116",58
"117",194
"118",397
"119",453
"120",656
"121",348
"122",67
"123",331
"124",700
"125",160
"126",521
"127",402
"128",149
"129",276
"130",210
"131",640
"132",281
"133",232
"134",274
"135",755
"136",245
"137",139
"138",9
"139",56
"140",28
"141",246
"142",674
"143",315
"144",438
"145",275
"146",726
"147",11
"148",157
"149",324
"150",392
"151",637
"152",269
"153",587
"154",748
"155",113
"156",568
"157",88
"158",641
"159",335
"160",140
"161",72
"162",193
"163",470
"164",699
"165",725
"166",449
"167",420
"168",242
"169",10
"170",645
"171",398
"172",665
"173",147
"174",625
"175",653
"176",203
"177",326
"178",423
"179",125
"180",499
"181",646
"182",396
"183",705
"184",670
"185",693
"186",156
"187",155
"188",462
"189",101
"190",7
"191",566
"192",612
"193",564
"194",213
"195",528
"196",627
"197",464
"198",254
"199",434
"200",613
"201",225
"202",191
"203",486
"204",708
"205",745
"206",651
"207",95
"208",512
"209",306
"210",544
"211",313
"212",548
"213",106
"214",320
"215",49
"216",479
"217",428
"218",734
"219",174
"220",333
"221",51
"222",391
"223",319
"224",325
"225",414
"226",395
"227",523
"228",750
"229",610
"230",482
"231",346
"232",108
"233",668
"234",93
"235",134
"236",650
"237",330
"238",619
"239",606
"240",569
"241",485
"242",163
"243",503
"244",425
"245",42
"246",202
"247",710
"248",300
"249",235
"250",549
"251",597
"252",334
"253",673
"254",87
"255",697
"256",740
"257",181
"258",212
"259",687
"260",713
"261",251
"262",288
"263",170
"264",408
"265",647
"266",576
"267",175
"268",302
"269",515
"270",490
"271",524
"272",200
"273",446
"274",171
"275",228
"276",356
"277",344
"278",188
"279",282
"280",286
"281",667
"282",690
"283",195
"284",353
"285",220
"286",525
"287",727
"288",291
"289",702
"290",233
"291",161
"292",78
"293",495
"294",8
"295",628
"296",54
"297",746
"298",632
"299",701
"300",316
"301",511
"302",142
"303",502
"304",623
"305",565
"306",30
"307",620
"308",417
"309",22
"310",405
"311",164
"312",250
"313",652
"314",14
"315",221
"316",5
"317",229
"318",45
"319",337
"320",44
"321",497
"322",681
"323",80
"324",547
"325",534
"326",522
"327",115
"328",117
"329",237
"330",596
"331",4
"332",415
"333",694
"334",743
"335",483
"336",617
"337",158
"338",91
"339",452
"340",691
"341",84
"342",559
"343",190
"344",152
"345",21
"346",709
"347",638
"348",520
"349",735
"350",749
"351",603
"352",341
"353",329
"354",183
"355",410
"356",47
"357",433
"358",492
"359",751
"360",178
"361",136
"362",742
"363",679
"364",70
"365",413
"366",480
"367",173
"368",454
"369",430
"370",39
"371",654
"372",630
"373",69
"374",258
"375",303
"376",222
"377",377
"378",594
"379",247
"380",271
"381",552
"382",556
"383",715
"384",471
"385",507
"386",404
"387",196
"388",253
"389",296
"390",605
"391",122
"392",230
"393",135
"394",436
"395",241
"396",533
"397",592
"398",493
"399",649
"400",48
"401",43
"402",421
"403",695
"404",332
"405",692
"406",63
"407",484
"408",280
"409",123
"410",216
"411",75
"412",351
"413",64
"414",390
"415",583
"416",616
"417",682
"418",19
"419",386
"420",119
"421",192
"422",358
"423",473
"424",469
"425",98
"426",20
"427",539
"428",12
"429",131
"430",105
"431",15
"432",736
"433",165
"434",227
"435",477
"436",268
"437",124
"438",557
"439",151
"440",41
"441",264
"442",500
"443",467
"444",336
"445",102
"446",678
"447",730
"448",373
"449",50
"450",309
"451",304
"452",739
"453",570
"454",585
"455",169
"456",442
"457",179
"458",577
"459",38
"460",465
"461",406
"462",209
"463",385
"464",472
"465",34
"466",186
"467",176
"468",345
"469",744
"470",239
"471",109
"472",347
"473",676
"474",359
"475",463
"476",722
"477",669
"478",207
"479",601
"480",55
"481",551
"482",59
"483",504
"484",555
"485",648
"486",110
"487",153
"488",100
"489",716
"490",318
"491",214
"492",712
"493",40
"494",593
"495",107
"496",639
"497",166
"498",519
"499",505
"500",132
"501",418
"502",636
"503",535
